"Story","Title","Result","Date","Stability","Duration (s)"
"Addition","As a user I want to add teo positive numbers","ERROR","2016-09-03T15:53:42.450+02:00","0.0","11.61"
"Addition","As a user I want to teo positive numbers","ERROR","2016-09-03T15:09:54.118+02:00","0.0","2.84"
